document_id,source_pdf,registry_status,fallback_manifest_exists,fallback_status,placeholder_pages,queued_job,latest_job_stage,latest_job_status,mineru_artifact_exists,rag_inputs_exists,evidence_exists,qdrant_points,searchable,next_action,blocking_reason
A27,A27.pdf,searchable,false,,,false,complete,succeeded,true,false,false,87,true,none,
A34,A34.pdf,searchable,true,fallback_ready_with_placeholders,"8,9,10",true,complete,succeeded,false,false,false,72,true,none,
A35,A35.pdf,searchable,true,fallback_ready_with_placeholders,"9,10,11",true,complete,succeeded,false,false,false,83,true,none,
A39,A39.pdf,searchable,true,fallback_ready_with_placeholders,"7,8",true,complete,succeeded,false,false,false,69,true,none,
A41,A41.pdf,searchable,false,,,false,complete,succeeded,true,false,false,75,true,none,
A47,A47.pdf,searchable,false,,,false,complete,succeeded,false,false,false,103,true,none,
A49,A49.pdf,searchable,true,fallback_ready_with_placeholders,12,true,complete,succeeded,false,false,false,97,true,none,
A51,A51.pdf,searchable,true,fallback_ready_with_placeholders,"11,12",true,complete,succeeded,false,false,false,48,true,none,
A53,A53.pdf,searchable,true,fallback_ready_with_placeholders,11,true,complete,succeeded,false,false,false,81,true,none,
A57,A57.pdf,searchable,true,fallback_ready_with_placeholders,"8,9",true,complete,succeeded,false,false,false,54,true,none,
A65,A65.pdf,searchable,true,fallback_ready_with_placeholders,"9,10",true,complete,succeeded,false,false,false,70,true,none,
A66,A66.pdf,searchable,true,fallback_ready_with_placeholders,11,true,complete,succeeded,false,false,false,117,true,none,
A68,A68.pdf,searchable,true,fallback_ready_with_placeholders,"10,11,12",true,complete,succeeded,false,false,false,67,true,none,
A70,A70.pdf,searchable,true,fallback_ready_with_placeholders,"10,11",true,complete,succeeded,false,false,false,62,true,none,
A72,A72.pdf,searchable,true,fallback_ready_with_placeholders,"8,9",true,complete,succeeded,false,false,false,39,true,none,
A73,A73.pdf,searchable,true,fallback_ready_with_placeholders,12,true,complete,succeeded,false,false,false,74,true,none,
A74,A74.pdf,searchable,true,fallback_ready_with_placeholders,"10,11,12",true,complete,succeeded,false,false,false,48,true,none,
A75,A75.pdf,searchable,false,,,false,complete,succeeded,false,false,false,50,true,none,
A76,A76.pdf,searchable,true,fallback_ready_with_placeholders,8,true,complete,succeeded,false,false,false,65,true,none,
A77,A77.pdf,searchable,true,fallback_ready_with_placeholders,"10,11,12,13",true,complete,succeeded,false,false,false,80,true,none,
A78,A78.pdf,searchable,true,fallback_ready_with_placeholders,9,true,complete,succeeded,false,false,false,74,true,none,
